TS,label,value,,class,,,,,,,,
2015-02-26 21:42:53,N,104,,0,,,,,,,,
2015-02-26 21:47:53,N,100,,0,,,,,,,,
2015-02-26 21:52:53,N,99,,0,,,,,,,,
2015-02-26 21:57:53,N,154,,0,,,,,,,,
2015-02-26 22:02:53,N,120,,0,,,,,,,,
2015-02-26 22:07:53,N,90,,0,,,,,,,,
2015-02-26 22:12:53,N,92,,0,,,,,,,,
2015-02-26 22:17:53,N,71,,0,,,,,,,,
2015-02-26 22:22:53,PL,339,,0,,,,,,,Les patterns sont,Les compostions sont : 
2015-02-26 22:27:53,N,178,,0,,,,,,, N : N,N.N.PL AND PG.N.N      classe 1
2015-02-26 22:32:53,N,144,,0,,,,,,,PL : PL,N.N.PL.N.N                        classe 2 
2015-02-26 22:37:53,N,143,,0,,,,,,,PG : PG,N.N.N.PL AND PG.N.N  classe 1
2015-02-26 22:42:53,N,179,,0,,,,,,,,
2015-02-26 22:47:53,N,245,,0,,,,,,,,
2015-02-26 22:52:53,N,166,,0,,,,,,,,
2015-02-26 22:57:53,N,139,,0,,,,,,,,
2015-02-26 23:02:53,N,112,,0,,,,,,,,
2015-02-26 23:07:53,N,95,,0,,,,,,,,
2015-02-26 23:12:53,N,70,,0,,,,,,,,
2015-02-26 23:17:53,N,74,,0,,,,,,,,
2015-02-26 23:22:53,N,88,,0,,,,,,,,
2015-02-26 23:27:53,N,75,,0,,,,,,,,
2015-02-26 23:32:53,N,77,,0,,,,,,,,
2015-02-26 23:37:53,N,110,,0,,,,,,,,
2015-02-26 23:42:53,N,83,,0,,,,,,,,
2015-02-26 23:47:53,N,66,,0,,,,,,,,
2015-02-26 23:52:53,N,59,,0,,,,,,,,
2015-02-26 23:57:53,N,64,,0,,,,,,,,
2015-02-27 00:02:53,N,72,,0,,,,,,,,
2015-02-27 00:07:53,N,71,,0,,,,,,,,
2015-02-27 00:12:53,N,53,,0,,,,,,,,
2015-02-27 00:17:53,N,61,,0,,,,,,,,
2015-02-27 00:22:53,N,73,,0,,,,,,,,
2015-02-27 00:27:53,N,71,,0,,,,,,,,
2015-02-27 00:32:53,N,66,,0,,,,,,,,
2015-02-27 00:37:53,N,42,,0,,,,,,,,
2015-02-27 00:42:53,N,59,,0,,,,,,,,
2015-02-27 00:47:53,N,39,,0,,,,,,,,
2015-02-27 00:52:53,N,49,,0,,,,,,,,
2015-02-27 00:57:53,N,51,,0,,,,,,,,
2015-02-27 01:02:53,N,44,,0,,,,,,,,
2015-02-27 01:07:53,N,45,,0,,,,,,,,
2015-02-27 01:12:53,N,36,,0,,,,,,,,
2015-02-27 01:17:53,N,36,,0,,,,,,,,
2015-02-27 01:22:53,N,34,,0,,,,,,,,
2015-02-27 01:27:53,N,45,,0,,,,,,,,
2015-02-27 01:32:53,N,45,,0,,,,,,,,
2015-02-27 01:37:53,N,42,,0,,,,,,,,
2015-02-27 01:42:53,N,61,,0,,,,,,,,
2015-02-27 01:47:53,N,50,,0,,,,,,,,
2015-02-27 01:52:53,N,43,,0,,,,,,,,
2015-02-27 01:57:53,N,46,,0,,,,,,,,
2015-02-27 02:02:53,N,41,,0,,,,,,,,
2015-02-27 02:07:53,N,61,,0,,,,,,,,
2015-02-27 02:12:53,N,171,,0,,,,,,,,
2015-02-27 02:17:53,N,95,,0,,,,,,,,
2015-02-27 02:22:53,N,60,,0,,,,,,,,
2015-02-27 02:27:53,N,65,,0,,,,,,,,
2015-02-27 02:32:53,N,55,,0,,,,,,,,
2015-02-27 02:37:53,N,58,,0,,,,,,,,
2015-02-27 02:42:53,N,51,,0,,,,,,,,
2015-02-27 02:47:53,N,48,,0,,,,,,,,
2015-02-27 02:52:53,N,42,,0,,,,,,,,
2015-02-27 02:57:53,N,35,,0,,,,,,,,
2015-02-27 03:02:53,N,37,,0,,,,,,,,
2015-02-27 03:07:53,N,35,,0,,,,,,,,
2015-02-27 03:12:53,N,33,,0,,,,,,,,
2015-02-27 03:17:53,N,44,,0,,,,,,,,
2015-02-27 03:22:53,N,93,,0,,,,,,,,
2015-02-27 03:27:53,N,107,,0,,,,,,,,
2015-02-27 03:32:53,N,67,,0,,,,,,,,
2015-02-27 03:37:53,N,77,,0,,,,,,,,
2015-02-27 03:42:53,N,42,,0,,,,,,,,
2015-02-27 03:47:53,N,41,,0,,,,,,,,
2015-02-27 03:52:53,N,41,,0,,,,,,,,
2015-02-27 03:57:53,N,61,,0,,,,,,,,
2015-02-27 04:02:53,N,44,,0,,,,,,,,
2015-02-27 04:07:53,N,27,,0,,,,,,,,
2015-02-27 04:12:53,N,37,,0,,,,,,,,
2015-02-27 04:17:53,N,36,,0,,,,,,,,
2015-02-27 04:22:53,N,49,,0,,,,,,,,
2015-02-27 04:27:53,N,36,,0,,,,,,,,
2015-02-27 04:32:53,N,41,,0,,,,,,,,
2015-02-27 04:37:53,N,32,,0,,,,,,,,
2015-02-27 04:42:53,N,50,,0,,,,,,,,
2015-02-27 04:47:53,N,43,,0,,,,,,,,
2015-02-27 04:52:53,N,50,,0,,,,,,,,
2015-02-27 04:57:53,N,47,,0,,,,,,,,
2015-02-27 05:02:53,N,50,,0,,,,,,,,
2015-02-27 05:07:53,N,45,,0,,,,,,,,
2015-02-27 05:12:53,N,56,,0,,,,,,,,
2015-02-27 05:17:53,N,40,,0,,,,,,,,
2015-02-27 05:22:53,N,32,,0,,,,,,,,
2015-02-27 05:27:53,N,57,,0,,,,,,,,
2015-02-27 05:32:53,N,73,,0,,,,,,,,
2015-02-27 05:37:53,N,49,,0,,,,,,,,
2015-02-27 05:42:53,N,59,,0,,,,,,,,
2015-02-27 05:47:53,N,140,,0,,,,,,,,
