TS,label,value
2015-05-27_00:00:00,A,38.781006
2015-07-03_00:00:00,N,8.92498799999999
2016-07-16_00:00:00,PP,226.041016
2016-07-17_00:00:00,N,0
2016-07-18_00:00:00,A,0
2016-07-19_00:00:00,B,0
2016-07-20_00:00:00,N,0
2016-07-21_00:00:00,N,0
2016-07-22_00:00:00,N,0
2016-07-23_00:00:00,A,0
2016-07-24_00:00:00,B,0
2016-07-25_00:00:00,A,0
2016-07-26_00:00:00,A,0
2016-07-27_00:00:00,A,0
2016-07-28_00:00:00,A,0
2016-07-29_00:00:00,N,0
2016-07-30_00:00:00,N,0
2016-07-31_00:00:00,N,0
2016-08-01_00:00:00,N,0
2016-08-02_00:00:00,A,0
2016-08-03_00:00:00,A,0
2016-08-04_00:00:00,B,0
2016-08-05_00:00:00,N,0
2016-08-06_00:00:00,N,0
2016-08-07_00:00:00,N,0
2016-08-08_00:00:00,A,0
2016-08-09_00:00:00,B,0
2016-08-10_00:00:00,N,0
2016-08-11_00:00:00,B,0
2016-08-12_00:00:00,A,0
2016-08-13_00:00:00,B,0
2016-08-14_00:00:00,A,0
2016-08-15_00:00:00,N,0
2016-08-16_00:00:00,N,0
2016-08-17_00:00:00,B,0
2016-08-18_00:00:00,N,0
2017-02-24_00:00:00,PP,149.482055
2017-02-27_00:00:00,N,0
2017-02-28_00:00:00,N,0
2017-03-01_00:00:00,N,0
2017-03-02_00:00:00,B,0
2017-03-03_00:00:00,B,0
2017-03-04_00:00:00,B,0
2017-03-09_00:00:00,B,1.18896499999983
2017-03-12_00:00:00,A,0.406983000000082
2017-03-13_00:00:00,A,0
2017-03-14_00:00:00,N,0
2017-03-15_00:00:00,A,0
2017-03-16_00:00:00,A,0
2017-03-17_00:00:00,B,0
2017-03-18_00:00:00,A,0
2017-03-19_00:00:00,B,0
2017-03-20_00:00:00,B,0
2017-03-21_00:00:00,B,0
2017-03-22_00:00:00,N,0
2017-03-23_00:00:00,A,0
2017-03-24_00:00:00,B,0
2017-03-25_00:00:00,A,0.004028000000062
2017-03-30_00:00:00,B,1.75598100000002
2017-03-31_00:00:00,A,0
2017-04-01_00:00:00,B,0
2017-04-02_00:00:00,N,0
2017-04-03_00:00:00,A,0
2017-04-04_00:00:00,B,0
2017-04-05_00:00:00,N,0
2017-04-06_00:00:00,A,0
2017-04-07_00:00:00,A,0
2017-04-08_00:00:00,A,0
2017-04-09_00:00:00,N,0
2017-04-11_00:00:00,B,0.040038999999979
2017-04-12_00:00:00,A,0
2017-04-13_00:00:00,A,0
2017-04-14_00:00:00,A,0
2017-04-15_00:00:00,B,0
2017-04-16_00:00:00,A,0
2017-04-17_00:00:00,N,0
2017-04-18_00:00:00,N,0
2017-04-21_00:00:00,N,0.114990999999918
2017-04-22_00:00:00,N,0
2017-04-23_00:00:00,N,0
2017-04-24_00:00:00,A,0
2017-04-25_00:00:00,A,0
2017-04-26_00:00:00,N,0
2017-04-27_00:00:00,N,0
2017-04-28_00:00:00,B,0
2017-04-29_00:00:00,N,0
2017-04-30_00:00:00,B,0
2017-05-01_00:00:00,N,0
2017-05-02_00:00:00,A,0
2017-05-03_00:00:00,A,0
2017-05-04_00:00:00,B,0
2017-05-05_00:00:00,A,0
2017-05-06_00:00:00,B,0
2017-05-07_00:00:00,N,0
2017-05-08_00:00:00,A,0
2017-05-09_00:00:00,A,0
2017-05-10_00:00:00,A,0
2017-05-11_00:00:00,A,0
2017-05-12_00:00:00,N,0
2017-05-13_00:00:00,B,0
2017-05-14_00:00:00,A,0
2017-05-15_00:00:00,A,0
2017-05-16_00:00:00,N,0
2017-05-17_00:00:00,B,0
2017-05-18_00:00:00,A,0
2017-05-19_00:00:00,A,0
2017-05-20_00:00:00,A,0
2017-05-21_00:00:00,A,0
2017-05-22_00:00:00,N,0
2017-05-23_00:00:00,A,0
2017-05-24_00:00:00,A,0
2017-05-25_00:00:00,B,0
2017-05-26_00:00:00,A,0
2017-05-27_00:00:00,N,0
2017-05-28_00:00:00,A,0
2017-05-29_00:00:00,B,0
2017-05-30_00:00:00,N,0
2017-05-31_00:00:00,B,0
2017-06-01_00:00:00,N,0
2017-06-02_00:00:00,B,0
2017-06-03_00:00:00,A,0
2017-06-04_00:00:00,B,0
2017-06-05_00:00:00,A,0
2017-06-06_00:00:00,B,0
2017-06-07_00:00:00,A,0
2017-06-08_00:00:00,N,0
2017-06-09_00:00:00,N,0
2017-06-10_00:00:00,B,0
2017-06-11_00:00:00,A,0
2017-06-12_00:00:00,A,0
2017-06-13_00:00:00,A,0
2017-06-14_00:00:00,A,0
2017-06-15_00:00:00,A,0
2017-06-16_00:00:00,N,0
2017-06-17_00:00:00,A,0
2017-06-18_00:00:00,A,0
2017-06-19_00:00:00,N,0
2017-06-20_00:00:00,B,0
2017-06-21_00:00:00,N,0
2017-06-22_00:00:00,B,0
2017-06-23_00:00:00,N,0
2017-06-24_00:00:00,B,0
2017-06-25_00:00:00,N,0
2017-06-26_00:00:00,N,0
2017-06-27_00:00:00,B,0
2017-06-28_00:00:00,A,0
2017-06-29_00:00:00,A,0
2017-07-06_00:00:00,N,0.896972000000005
2017-07-07_00:00:00,N,0
2017-07-08_00:00:00,N,0
2017-07-09_00:00:00,B,0
2017-07-10_00:00:00,B,0
2017-07-11_00:00:00,N,0
2017-07-12_00:00:00,B,0
2017-07-13_00:00:00,N,0
2017-07-14_00:00:00,B,0
2017-07-15_00:00:00,B,0
2017-07-16_00:00:00,N,0
2017-07-17_00:00:00,A,0
2017-07-18_00:00:00,N,0
2017-07-19_00:00:00,N,0
2017-07-20_00:00:00,A,0
2017-07-21_00:00:00,N,0
2017-07-22_00:00:00,N,0
2017-07-23_00:00:00,N,0
2017-07-24_00:00:00,A,0
2017-07-25_00:00:00,N,0
2017-07-26_00:00:00,A,0
2017-07-27_00:00:00,N,0
2017-07-28_00:00:00,N,0
2017-07-29_00:00:00,A,0
2017-07-30_00:00:00,A,0
2017-07-31_00:00:00,B,0
2017-08-01_00:00:00,B,0
2017-08-02_00:00:00,N,0
2017-08-03_00:00:00,N,0
2017-08-04_00:00:00,A,0
2017-08-05_00:00:00,A,0
2017-08-06_00:00:00,N,0
2017-08-07_00:00:00,A,0
2017-08-08_00:00:00,N,0
2017-08-09_00:00:00,A,0
2017-08-10_00:00:00,N,0
2017-08-11_00:00:00,N,0
2017-08-12_00:00:00,N,0
2017-08-13_00:00:00,B,0
2017-08-14_00:00:00,N,0
2017-08-15_00:00:00,A,0
2017-08-16_00:00:00,N,0
2017-08-17_00:00:00,A,0
2017-08-18_00:00:00,N,0
2017-08-19_00:00:00,N,0
2017-08-20_00:00:00,B,0
2017-08-21_00:00:00,B,0
2017-08-22_00:00:00,A,0
2017-08-23_00:00:00,A,0
2017-08-24_00:00:00,B,0
2017-08-25_00:00:00,B,0
2017-08-26_00:00:00,N,0
2017-08-27_00:00:00,B,0
2017-08-28_00:00:00,A,0
2017-08-29_00:00:00,B,0
2017-08-30_00:00:00,N,0
2017-08-31_00:00:00,B,0
2017-09-01_00:00:00,A,0
2017-09-02_00:00:00,N,0
2017-09-03_00:00:00,N,0
2017-09-04_00:00:00,A,0
2017-09-05_00:00:00,B,0
2017-09-06_00:00:00,B,0
2017-09-07_00:00:00,N,0
2017-09-08_00:00:00,A,0
2017-09-09_00:00:00,A,0
2017-09-10_00:00:00,B,0
2017-09-11_00:00:00,N,0
2017-09-12_00:00:00,A,0
2017-09-13_00:00:00,A,0
2017-09-14_00:00:00,B,0
2017-09-15_00:00:00,N,0
2017-09-16_00:00:00,B,0
2017-09-17_00:00:00,B,0
2017-09-18_00:00:00,N,0
2017-09-19_00:00:00,N,0
2017-09-20_00:00:00,A,0
2017-09-21_00:00:00,N,0
2017-09-22_00:00:00,A,0
2017-09-23_00:00:00,A,0
2017-09-24_00:00:00,N,0
2017-09-25_00:00:00,B,0
2017-09-26_00:00:00,N,0
2017-09-27_00:00:00,A,0
2017-09-28_00:00:00,N,0
2017-09-29_00:00:00,A,0
2017-09-30_00:00:00,A,0
2017-10-01_00:00:00,B,0
2017-10-02_00:00:00,B,0
2017-10-03_00:00:00,B,0
2017-10-04_00:00:00,N,0
2017-10-05_00:00:00,N,0
2017-10-06_00:00:00,A,0
2017-10-07_00:00:00,A,0
2017-10-08_00:00:00,B,0
2017-10-09_00:00:00,B,0
2017-10-11_00:00:00,N,0.005982000000131
2017-10-12_00:00:00,B,0
2017-10-13_00:00:00,A,0
2017-10-14_00:00:00,A,0
2017-10-15_00:00:00,N,0
2017-10-16_00:00:00,B,0
2017-10-17_00:00:00,N,0
2017-10-18_00:00:00,N,0
2017-10-19_00:00:00,B,0
2017-10-20_00:00:00,N,0
2017-10-21_00:00:00,B,0
2017-10-22_00:00:00,A,0
2017-10-23_00:00:00,N,0
2017-10-25_00:00:00,B,0.005980999999792
2017-10-26_00:00:00,N,0
2017-10-27_00:00:00,A,0
2017-10-28_00:00:00,N,0
2018-02-25_00:00:00,N,131.601074
2018-04-21_00:00:00,B,55.104981
2018-04-22_00:00:00,B,0
2018-04-23_00:00:00,A,0
2018-04-24_00:00:00,N,0
2018-04-25_00:00:00,B,0
2018-04-26_00:00:00,B,0
2018-04-27_00:00:00,A,0
2018-04-28_00:00:00,A,0
2018-04-29_00:00:00,A,0
2018-04-30_00:00:00,N,0
2018-05-01_00:00:00,A,0
2018-05-02_00:00:00,N,0
2018-05-03_00:00:00,B,0
2018-05-04_00:00:00,B,0
2018-05-05_00:00:00,B,0
2018-05-06_00:00:00,B,0
2018-05-07_00:00:00,A,0
2018-05-08_00:00:00,B,0
2018-05-09_00:00:00,N,0
2018-05-10_00:00:00,A,0
2018-05-11_00:00:00,B,0
2018-05-12_00:00:00,A,0
2018-05-13_00:00:00,A,0
2018-05-21_00:00:00,A,3.16101099999992
2018-05-23_00:00:00,A,0.192016000000194
2018-05-24_00:00:00,N,0
2018-05-25_00:00:00,N,0
2018-05-26_00:00:00,N,0
2018-05-27_00:00:00,N,0
2018-05-28_00:00:00,N,0
2018-05-29_00:00:00,A,0
2018-05-30_00:00:00,B,0
2018-05-31_00:00:00,B,0
2018-06-01_00:00:00,B,0
2018-06-02_00:00:00,N,0
2018-06-03_00:00:00,N,0
2018-06-04_00:00:00,N,0
2018-06-05_00:00:00,A,0
2018-06-06_00:00:00,B,0
2018-06-07_00:00:00,N,0
2018-06-08_00:00:00,N,0
2018-06-09_00:00:00,B,0
2018-06-10_00:00:00,N,0
2018-06-11_00:00:00,A,0
2018-06-12_00:00:00,N,0
2018-06-13_00:00:00,B,0
2018-06-14_00:00:00,B,0
2018-06-15_00:00:00,N,0
2018-06-16_00:00:00,N,0
2018-06-17_00:00:00,A,0
2018-06-18_00:00:00,A,0
2018-06-19_00:00:00,A,0
2018-06-20_00:00:00,B,0
2018-06-21_00:00:00,N,0
2018-06-22_00:00:00,N,0
2018-06-23_00:00:00,B,0
2018-06-24_00:00:00,B,0
2018-06-25_00:00:00,N,0
2018-06-26_00:00:00,A,0
2018-06-27_00:00:00,B,0
2018-06-28_00:00:00,A,0
2018-06-29_00:00:00,A,0
2018-06-30_00:00:00,B,0
2018-07-01_00:00:00,N,0
2018-07-02_00:00:00,B,0
2018-07-03_00:00:00,B,0
2018-07-04_00:00:00,N,0
2018-07-05_00:00:00,B,0
2018-07-06_00:00:00,A,0
2018-07-07_00:00:00,A,0
2018-07-08_00:00:00,N,0
2018-07-09_00:00:00,N,0
2018-07-10_00:00:00,N,0
2018-07-11_00:00:00,B,0
2018-07-12_00:00:00,A,0
2018-07-13_00:00:00,A,0
2018-07-14_00:00:00,A,0
2018-07-15_00:00:00,A,0
2018-07-16_00:00:00,N,0
2018-07-17_00:00:00,N,0
2018-07-18_00:00:00,N,0
2018-07-19_00:00:00,PN,-1301.252075
2018-07-20_00:00:00,PP,1301.25
2018-07-21_00:00:00,PN,-1301.25
2018-07-22_00:00:00,N,0
2018-07-23_00:00:00,A,0
2018-07-24_00:00:00,N,0
2018-07-25_00:00:00,N,0
2018-07-26_00:00:00,N,0
2018-07-27_00:00:00,PP,1301.25
2018-07-28_00:00:00,PN,-1301.25
2018-07-29_00:00:00,N,0
2018-07-30_00:00:00,A,0
2018-07-31_00:00:00,A,0
2018-08-01_00:00:00,A,0
2018-08-02_00:00:00,N,0
2018-08-03_00:00:00,PP,1301.25
2018-08-04_00:00:00,PN,-1301.25
2018-08-05_00:00:00,N,0
2018-08-06_00:00:00,A,0
2018-08-07_00:00:00,N,0
2018-08-08_00:00:00,N,0
2018-08-09_00:00:00,N,0
2018-08-10_00:00:00,PP,1301.25
2018-08-11_00:00:00,PN,-1301.25
2018-08-12_00:00:00,N,0
2018-08-13_00:00:00,N,0
2018-08-14_00:00:00,B,0
2018-08-15_00:00:00,N,0
2018-08-16_00:00:00,N,0
2018-08-17_00:00:00,PP,1301.25
2018-08-18_00:00:00,PN,-1301.25
2018-08-19_00:00:00,N,0
2018-08-20_00:00:00,N,0
2018-08-21_00:00:00,B,0
2018-08-22_00:00:00,A,0
2018-08-23_00:00:00,N,0
2018-08-24_00:00:00,PP,1301.25
2018-08-25_00:00:00,PN,-1301.25
2018-08-26_00:00:00,N,0
2018-08-27_00:00:00,N,0
2018-08-28_00:00:00,N,0
2018-08-29_00:00:00,A,0
2018-08-30_00:00:00,N,0
2018-08-31_00:00:00,PP,1301.25
2018-09-01_00:00:00,PN,-1301.25
2018-09-02_00:00:00,N,0
2018-09-03_00:00:00,A,0
2018-09-04_00:00:00,N,0
2018-09-05_00:00:00,A,0
2018-09-06_00:00:00,A,0
2018-09-07_00:00:00,N,0
2018-09-08_00:00:00,N,0
2018-09-09_00:00:00,A,0
2018-09-10_00:00:00,B,0
2018-09-11_00:00:00,B,0
2018-09-12_00:00:00,N,0
2018-09-13_00:00:00,A,0
2018-09-14_00:00:00,N,0
